,DRIBBLES,SHOT_DIST,CLOSE_DEF_DIST,TOUCH_TIME
3493,14,24.9,5.5,12.6
3022,0,18.5,3.6,1.0
4647,2,7.5,0.9,3.7
2648,0,25.1,3.7,0.9
1856,2,16.0,4.9,3.1
4697,0,4.2,2.9,0.7
3563,0,23.9,3.7,0.7
1964,2,4.1,1.2,3.4
1013,0,25.7,8.3,0.9
1427,4,25.7,2.3,4.4
3322,12,3.1,2.5,9.9
5482,4,18.3,4.8,6.8
1295,0,29.4,9.2,0.0
466,2,9.6,1.1,3.0
4028,5,8.6,0.0,6.0
5595,0,16.9,2.6,5.1
174,3,4.0,3.2,3.8
4880,0,2.3,1.3,1.2
277,10,18.1,3.7,9.6
1069,12,24.6,4.9,9.4
1548,1,1.5,5.1,2.1
1024,0,24.8,8.6,0.9
5561,1,20.3,6.1,1.7
5036,1,7.3,16.5,2.4
2834,4,2.6,2.7,4.2
1466,0,14.5,3.3,0.8
5419,5,24.8,4.8,4.7
5495,8,5.0,2.1,9.9
5856,2,19.2,4.6,1.6
5545,0,1.1,2.5,0.4
5002,1,5.6,3.8,0.6
1713,0,22.8,14.5,0.9
3424,4,17.3,5.3,4.6
2611,0,24.5,6.5,0.8
388,2,16.7,2.9,4.9
2070,3,9.0,3.8,4.0
3970,0,2.9,2.4,0.7
3495,11,2.6,2.3,10.3
2821,7,14.5,2.9,6.3
4976,0,6.4,1.2,1.0
1424,2,8.4,5.8,3.7
3542,8,16.9,1.6,6.4
6332,2,2.7,4.6,5.3
3574,1,11.9,1.8,1.6
50,3,3.4,2.2,6.7
1887,7,3.3,6.7,6.8
3695,5,7.8,3.0,3.6
4229,6,10.8,5.2,6.5
5201,0,26.7,6.0,1.1
4799,0,5.7,1.4,0.9
482,3,19.8,3.1,3.6
3393,0,23.9,5.0,0.9
5241,3,3.8,2.4,2.5
2251,8,8.5,3.7,6.8
4162,6,2.9,1.9,6.2
2313,6,9.3,3.7,5.6
2849,11,7.0,0.0,10.0
6045,2,3.4,4.1,2.9
3103,2,2.8,3.0,5.2
5003,0,5.0,1.0,1.4
4127,1,3.6,0.6,0.8
3867,5,26.4,5.3,7.2
2465,0,23.5,3.6,0.7
2929,3,0.8,2.3,3.0
6263,4,26.0,5.2,2.9
4106,0,23.2,4.0,3.6
64,2,21.7,4.6,4.7
6114,1,22.6,4.5,8.0
776,0,4.6,3.5,0.9
4173,0,2.4,3.8,0.8
4587,0,2.4,2.6,1.0
2734,2,7.0,2.4,2.9
2580,0,45.3,4.1,0.9
4616,0,2.3,1.6,1.1
3483,19,2.0,1.0,19.6
6298,1,18.5,1.1,2.9
2344,3,24.0,6.5,3.2
4687,0,1.0,1.9,1.3
2815,0,22.3,2.8,0.6
6065,2,15.2,1.3,3.7
5381,0,18.3,4.3,3.0
4026,6,8.0,4.5,6.9
724,7,27.7,6.5,7.2
5920,0,19.1,3.5,0.8
5898,2,14.8,2.5,3.6
6406,1,12.9,3.9,1.4
5308,0,14.0,3.6,0.6
6407,16,17.6,4.2,13.6
5733,0,24.8,8.5,0.7
6291,0,1.7,1.2,0.7
1735,2,7.7,2.6,3.2
3124,0,16.4,3.1,0.8
4940,8,10.6,0.6,11.0
5078,0,3.9,1.0,1.0
4802,1,7.2,2.9,1.7
273,2,22.5,1.5,2.5
2944,8,7.2,2.8,6.6
6160,0,24.4,9.8,0.6
5059,0,19.9,7.6,1.0
5892,2,8.8,3.1,6.8
6404,8,4.8,4.1,5.7
5578,3,17.8,3.2,2.4
5496,1,18.5,4.0,2.7
1452,2,6.8,3.3,1.3
2715,11,7.0,2.2,9.4
4245,8,6.3,2.3,6.0
2692,0,22.6,13.3,1.3
2767,12,25.8,3.3,11.5
218,2,25.1,2.3,5.5
239,1,21.2,3.7,1.9
1131,0,3.7,2.3,1.3
6123,3,18.1,4.1,3.0
3264,6,1.5,1.7,7.8
2239,0,1.7,3.0,0.1
5349,0,16.7,3.7,1.1
5149,3,11.7,2.8,5.1
5764,1,15.4,3.5,4.5
1383,13,26.7,5.8,8.9
3074,0,22.4,8.8,1.0
4860,2,7.0,4.0,6.9
1357,0,12.4,5.6,0.6
4871,5,9.7,1.9,8.0
2630,2,5.7,0.1,3.0
2832,8,15.8,2.2,6.5
624,15,18.2,3.1,13.9
839,7,18.9,5.0,6.6
4723,0,0.7,1.4,3.2
323,9,23.2,4.1,13.0
6428,7,24.9,0.8,6.1
6376,17,17.3,5.2,17.4
1867,1,11.7,5.1,1.4
5256,0,0.2,2.0,0.0
2826,0,25.0,10.3,0.8
5172,0,21.5,4.7,0.9
5887,6,0.7,2.3,5.3
437,2,18.1,4.0,2.4
119,0,18.6,2.2,1.4
5846,0,19.7,9.6,0.8
6058,2,22.3,4.2,4.9
1839,0,23.8,4.1,0.7
1026,1,27.7,2.7,2.3
3301,2,13.3,4.1,1.7
4172,11,23.4,4.0,8.8
3101,3,1.8,3.4,3.8
900,0,22.9,3.0,0.9
4467,0,4.5,3.7,0.8
1204,3,4.3,0.5,4.6
5945,0,12.8,3.2,3.4
6425,20,10.8,4.3,16.5
5037,0,6.8,1.5,1.8
4050,0,25.0,3.3,2.0
552,2,4.3,1.2,4.8
406,0,17.5,3.7,3.4
5865,0,16.9,3.1,4.4
1613,5,3.0,1.0,4.7
2934,3,25.1,2.5,4.1
5064,0,7.3,6.1,0.7
3298,0,23.9,6.4,0.8
2833,0,22.0,12.8,1.2
2349,4,7.6,2.4,3.4
4785,0,3.3,4.7,0.4
3109,7,2.7,1.5,5.9
1738,2,0.5,2.0,2.5
236,0,29.7,4.6,1.2
6299,2,2.3,1.9,4.1
3163,11,6.3,4.9,8.1
499,8,8.4,0.1,8.0
4918,2,4.9,2.0,2.0
3625,0,41.0,15.8,1.0
3127,1,2.6,0.9,3.6
794,7,4.0,0.4,6.4
3358,0,27.0,4.8,0.7
3291,9,4.2,2.3,7.4
3972,7,6.0,0.2,7.2
990,0,24.9,4.6,0.7
4663,0,19.2,13.2,1.1
2435,1,24.6,4.2,1.0
3376,5,26.5,2.7,4.8
390,9,4.4,0.7,7.3
4839,3,5.7,0.5,3.8
2400,5,5.8,1.5,6.4
1217,0,6.0,2.1,1.8
235,7,10.1,2.7,6.5
331,8,6.5,1.4,8.6
4576,0,17.6,2.4,3.2
3188,0,3.5,5.4,0.8
5773,2,4.1,4.8,3.9
44,0,26.4,5.3,0.9
5564,11,13.2,2.3,11.2
6061,0,24.5,1.8,1.0
4216,3,6.6,1.3,3.8
