,DRIBBLES,SHOT_DIST,CLOSE_DEF_DIST,TOUCH_TIME,SHOT_RESULT
14274,8,27.1,2.2,5.6,made
14275,0,16.7,4.4,0.9,missed
14276,0,22.5,5.0,0.8,missed
14277,2,6.5,3.9,2.3,made
14278,0,27.6,9.5,1.3,missed
14279,0,26.4,6.9,1.3,missed
14280,0,1.0,2.1,1.2,missed
14281,9,1.4,3.6,5.9,made
14282,0,15.4,8.8,0.8,made
14283,0,22.7,6.0,0.8,made
14284,4,25.4,3.6,4.8,made
14285,7,23.1,5.4,6.4,made
14286,13,9.6,3.9,9.9,missed
14287,0,24.2,7.1,0.8,made
14288,5,26.6,4.0,5.1,missed
14289,1,42.7,9.1,1.1,missed
14290,5,24.6,6.3,3.2,missed
14291,2,1.9,3.4,3.0,missed
14292,8,14.5,4.5,6.8,made
14293,15,24.0,3.0,15.0,missed
14294,10,7.7,2.3,7.8,missed
14295,0,7.8,2.2,0.0,missed
14296,0,15.3,4.1,0.9,made
14297,3,24.3,5.8,3.1,missed
14298,3,4.8,0.7,3.0,missed
14299,0,23.3,4.3,0.8,made
14300,2,26.5,6.6,4.0,missed
14301,1,7.3,3.8,0.8,made
14302,4,7.8,2.5,5.6,made
14303,2,20.7,4.3,2.3,missed
14304,0,25.3,5.7,0.9,made
14305,0,27.1,5.2,1.0,made
14306,2,24.8,2.7,2.6,missed
14307,0,26.6,6.0,0.8,missed
14308,18,6.8,3.3,17.5,made
14309,3,28.3,3.1,4.4,missed
14310,0,3.5,1.4,1.1,missed
14311,8,19.9,5.3,6.7,missed
14312,5,13.3,2.7,5.3,made
14313,7,25.0,3.8,6.0,made
14314,1,24.3,5.1,2.6,made
14315,1,28.2,5.3,2.0,missed
14316,4,25.3,3.8,4.8,made
14317,8,21.2,3.8,6.4,missed
14318,7,6.9,1.9,6.8,missed
14319,0,19.3,3.4,0.0,missed
14320,5,25.5,6.3,4.4,made
14321,5,27.2,2.3,4.3,missed
14322,5,10.2,1.0,5.8,missed
14323,7,7.3,3.3,5.5,made
14324,2,19.6,5.4,2.4,made
14325,0,25.4,3.8,0.9,made
14326,0,23.9,6.8,0.9,missed
14327,0,19.3,4.6,0.8,missed
14328,5,6.6,0.9,3.7,missed
14329,2,31.3,10.4,2.5,missed
14330,0,2.4,3.7,0.7,made
14331,0,24.9,4.6,0.7,missed
14332,0,23.1,1.7,1.0,missed
14333,1,11.2,2.0,2.3,made
14334,2,16.0,2.2,3.4,missed
14335,6,1.9,2.0,3.6,missed
14336,6,19.1,5.2,6.6,missed
14337,5,9.0,1.0,8.3,made
14338,4,25.5,8.5,7.6,missed
14339,1,22.3,2.1,3.3,missed
14340,0,24.4,5.7,0.7,missed
14341,0,3.4,2.2,0.7,made
14342,6,1.3,3.2,5.8,made
14343,0,25.7,3.2,0.7,missed
14344,6,15.3,3.5,4.4,made
14345,1,24.8,6.0,1.6,missed
14346,6,25.6,3.9,4.7,made
14347,8,1.9,2.5,7.2,missed
14348,0,17.7,5.5,1.6,made
14349,7,22.3,3.3,5.5,missed
14350,0,24.8,6.6,0.7,missed
14351,7,19.0,7.0,5.9,made
14352,0,21.7,4.3,0.7,missed
14353,0,3.5,3.4,1.1,made
14354,0,25.7,8.3,0.9,missed
14355,8,20.7,4.9,5.8,missed
14356,0,4.5,2.8,1.0,made
14357,4,4.8,1.8,3.3,missed
14358,5,4.9,2.2,8.3,missed
14359,0,2.6,3.4,0.6,made
14360,0,26.2,5.6,0.9,missed
14361,5,24.7,8.0,4.5,missed
14362,5,24.6,3.2,4.5,made
14363,3,7.2,2.5,4.3,missed
14364,4,25.9,5.8,4.8,made
14365,0,24.8,8.6,0.9,missed
14366,0,24.2,2.4,1.6,missed
14367,1,27.7,2.7,2.3,missed
14368,5,9.9,2.9,5.3,missed
14369,2,17.5,7.0,3.3,missed
14370,6,20.8,3.7,4.4,made
